"plot_id","column","germplasm_code","trait","value","timestamp","person","location","number"
"plot_190","95","SAP003","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_190_Plant Image_1_2020-09-16-02-42-37.jpg","2020-09-16 14:43:04.793-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_190","95","SAP003","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_190_Plant Image_2_2020-09-16-03-37-13.jpg","2020-09-16 15:37:35.610-0400","Cold Spring Harbor Tab1 ","null","2"
"plot_191","95","SAP007","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_191_Plant Image_1_2020-09-16-03-42-02.jpg","2020-09-16 15:42:24.647-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_193","95","SAP009","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_193_Plant Image_1_2020-09-16-03-45-02.jpg","2020-09-16 15:45:21.015-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_195","95","SAP023 #NG 23","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_195_Plant Image_1_2020-09-16-04-10-58.jpg","2020-09-16 16:11:09.537-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_196","95","SAP029","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_196_Plant Image_1_2020-09-16-04-18-32.jpg","2020-09-16 16:18:41.967-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_197","95","SAP030","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_197_Plant Image_1_2020-09-16-04-18-58.jpg","2020-09-16 16:19:08.243-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_199","95","SAP036","Plant Image","NA","2020-09-16 16:20:26.662-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_211","96","SAP038","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_211_Plant Image_1_2020-09-16-04-42-46.jpg","2020-09-16 16:43:06.954-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_213","96","SAP047","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_213_Plant Image_1_2020-09-16-04-53-17.jpg","2020-09-16 16:53:25.645-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_214","96","SAP048","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_214_Plant Image_1_2020-09-16-04-57-17.jpg","2020-09-16 16:57:27.619-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_215","96","SAP050/SC103","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_215_Plant Image_1_2020-09-16-04-57-42.jpg","2020-09-16 16:57:53.046-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_216","96","SAP059","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_216_Plant Image_1_2020-09-16-05-02-09.jpg","2020-09-16 17:02:22.749-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_217","96","SAP065","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_217_Plant Image_1_2020-09-16-05-02-32.jpg","2020-09-16 17:02:41.425-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_218","96","SAP076/SC414","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_218_Plant Image_1_2020-09-16-05-05-21.jpg","2020-09-16 17:05:29.572-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_219","96","SAP089","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_219_Plant Image_1_2020-09-16-05-05-33.jpg","2020-09-16 17:06:00.050-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_220","96","SAP095","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_220_Plant Image_1_2020-09-16-05-11-47.jpg","2020-09-16 17:12:03.918-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_221","96","SAP132/SC748","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_221_Plant Image_1_2020-09-16-05-12-14.jpg","2020-09-16 17:12:22.271-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_232","97","SAP135","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_232_Plant Image_1_2020-09-16-05-15-40.jpg","2020-09-16 17:15:47.810-0400","Cold Spring Harbor Tab1 ","null","1"
"plot_234","97","SAP175/SC155","Plant Image","/storage/emulated/0/fieldBook/plot_data/fieldbook_uplands_2020/photos/plot_234_Plant Image_1_2020-09-16-05-20-23.jpg","2020-09-16 17:20:32.086-0400","Cold Spring Harbor Tab1 ","null","1"
