Sample,Color,Speckled
BTX623,white,
BAP1,light brown,
BAP2,dark brown,
BAP3,light brown,
BAP4,yellow,
BAP5,dark brown,
BAP6,dark brown,
BAP7,cream,
BAP8,white,
BAP9,white,
BAP10,white,
BAP11,light brown,
BAP12,chalky white,
BAP13,yellow,
BAP14,dark brown,
BAP15,chalky white,TRUE
BAP16,yellow,
BAP17,light red,
BAP18,yellow,
BAP19,red,
BAP20,chalky white,
BAP21,cream,
BAP22,light red,TRUE
BAP23,light brown,TRUE
BAP24,dark brown,
BAP25,yellow,
BAP26,cream,
BAP27,white,
BAP28,cream,
BAP29,dark brown,
BAP30,dark brown,
BAP31,dark brown,
BAP32,red,
BAP33,red,
BAP34,red,
BAP35,cream,
BAP36,red,
BAP37,white,
BAP38,cream,
BAP39,dark brown,
BAP40,light brown,
BAP41,dark brown,
BAP42,light brown,
BAP43,yellow,
BAP44,chalky white,TRUE
BAP45,dark brown,
BAP46,dark brown,
BAP47,yellow,
BAP48,red,
BAP49,red,
BAP50,dark brown,
BAP51,cream,
BAP52,yellow,TRUE
BAP53,light brown,
BAP54,white,
BAP55,chalky white,
BAP56,yellow,
BAP57,yellow,
BAP58,red,
BAP59,cream,
BAP60,cream,
BAP61,dark brown,
BAP62,light brown,
BAP63,white,
BAP64,cream,TRUE
BAP65,dark brown,
BAP66,light brown,
BAP67,dark brown,
BAP68,light brown,
BAP69,dark brown,
BAP70,chalky white,
BAP71,cream,
BAP72,light red,TRUE
BAP73,cream,
BAP74,dark brown,
BAP75,light brown,
BAP76,dark brown,
BAP77,dark brown,
BAP78,dark brown,
BAP79,cream,
BAP80,light brown,
BAP81,cream,
BAP82,dark brown,
BAP83,white,
BAP84,yellow,
BAP85,cream,
BAP86,yellow,
BAP87,dark brown,
BAP88,yellow,
BAP89,light red,
BAP90,cream,
BAP91,yellow,
BAP92,chalky white,TRUE
BAP93,dark brown,
BAP94,light brown,
BAP95,dark brown,
BAP96,,
BAP97,,
BAP98,yellow,
BAP99,dark brown,
BAP100,cream,
BAP101,yellow,
BAP102,light red,
BAP103,light red,
