,b,r,sample,g,closest color
0,70.82009283,133.1098412,BAP001,83.82744985,dark brown
1,71.62282962,133.6383427,BAP001,84.34019886,red
2,63.52460441,137.5875813,BAP002,78.57585825,dark brown
3,62.65441141,137.2125746,BAP002,77.92264558,dark brown
4,61.99831113,130.3759373,BAP003,73.38430998,dark brown
5,60.96345681,130.0533661,BAP003,72.6698342,dark brown
6,81.61651457,152.7832089,BAP004,106.8729381,light brown
7,82.75189604,153.2736994,BAP004,107.6160686,light brown
8,68.16570929,124.621155,BAP005,71.89995507,dark brown
9,68.77241658,124.8660076,BAP005,72.43882657,dark brown
10,61.87895972,127.9291588,BAP006,69.37376457,dark brown
11,60.28023388,127.5749694,BAP006,68.43131773,dark brown
12,128.2873648,179.7929355,BAP007,145.2508856,cream
13,127.4416435,179.1634392,BAP007,144.4786655,cream
14,154.550305,192.1156513,BAP008,167.7850542,white
15,154.913712,192.5168324,BAP008,168.17456,white
16,152.6024407,187.360671,BAP009,163.9977818,white
17,152.3712792,187.5233071,BAP009,164.0061393,white
18,144.0105291,191.5482771,BAP010,160.7606479,white
19,143.9426274,191.7202558,BAP010,160.8994085,white
20,65.10429554,136.3319671,BAP011,77.11559449,dark brown
21,64.07294512,135.9767856,BAP011,76.38765896,dark brown
22,133.7258584,170.7038425,BAP012,143.7245591,chalky white
23,134.1030481,171.2516908,BAP012,144.1975878,chalky white
24,88.27899043,161.0356265,BAP013,114.1742802,light brown
25,87.5276503,160.7253201,BAP013,113.6223147,light brown
26,62.50308829,121.9649995,BAP014,69.32779742,dark brown
27,61.73144448,122.1054491,BAP014,68.96194577,dark brown
28,127.0020373,165.2174815,BAP015,135.111202,cream
29,126.9764562,165.0279442,BAP015,134.9906301,cream
30,74.21752289,150.7255846,BAP016,92.8215079,red
31,75.71618767,151.8587553,BAP016,94.30139995,red
32,85.50329308,149.0967797,BAP017,99.30562738,light brown
33,87.14037939,150.0443403,BAP017,100.8344433,light brown
34,84.01581994,158.5640937,BAP018,106.2857429,light brown
35,84.58441245,158.9255695,BAP018,106.718437,light brown
36,68.38710563,129.7334543,BAP019,69.95479995,dark brown
37,67.64277686,129.1313606,BAP019,69.22062849,dark brown
38,123.5259298,172.5165456,BAP020,137.2832519,cream
39,124.1681449,172.5287283,BAP020,137.670793,cream
40,134.7148543,184.8631795,BAP021,152.2439857,pearl
41,135.3095481,185.2731002,BAP021,152.7746417,pearl
42,125.0758412,177.8069232,BAP022,139.2352665,cream
43,66.5125028,141.0744893,BAP023,77.19875199,red
44,67.23040318,141.9245668,BAP023,78.14966339,red
45,51.03089431,94.79756098,BAP024,49.94552846,dark brown
46,60.39096713,119.1465503,BAP024,64.87399247,dark brown
47,124.2459156,170.6770678,BAP025,141.5360171,cream
48,123.7328343,169.5866419,BAP025,140.8475389,cream
49,127.1804105,172.9871952,BAP026,144.1597753,cream
50,124.2031054,170.6260707,BAP026,141.6643908,cream
51,162.5158601,191.7959838,BAP027,170.1726521,white
52,162.8674546,192.1103903,BAP027,170.5113538,white
53,122.969323,169.6068844,BAP028,136.5143212,cream
54,120.7232619,167.4402055,BAP028,134.2039262,cream
55,63.76025768,118.3452087,BAP029,66.22115541,dark brown
56,64.97119531,118.8091099,BAP029,67.2226477,dark brown
57,64.94271396,129.3944974,BAP030,72.69087014,dark brown
58,64.00905152,128.3201807,BAP030,71.57996458,dark brown
59,62.26817529,122.5534092,BAP031,66.74830469,dark brown
60,60.88021025,120.6338036,BAP031,65.27652646,dark brown
61,61.9119424,112.055564,BAP032,60.91583197,dark brown
62,62.78302153,112.5148686,BAP032,61.63531545,dark brown
63,66.58913901,122.1636471,BAP033,68.20449712,dark brown
64,65.58775755,121.6397671,BAP033,67.38106218,dark brown
65,62.55001207,118.2937293,BAP034,62.63738178,dark brown
66,63.18130245,118.7553197,BAP034,63.18285758,dark brown
67,117.7897315,170.51687,BAP035,136.3054652,cream
68,117.2313981,170.0572156,BAP035,135.7090178,cream
69,60.78863922,114.4849765,BAP036,61.10758658,dark brown
70,61.46249758,115.8193139,BAP036,62.49882026,dark brown
71,152.3794935,190.7654271,BAP037,164.5771209,white
72,152.5229117,190.759378,BAP037,164.663132,white
73,145.0812034,192.3679828,BAP038,159.2058436,white
74,145.3521329,192.453674,BAP038,159.4284964,white
75,64.45229757,119.3636905,BAP039,75.44517157,dark brown
76,63.66399745,119.1364457,BAP039,75.0412103,dark brown
77,81.22371788,146.9386083,BAP040,94.98373725,light brown
78,82.03577813,147.0179209,BAP040,95.69626258,light brown
79,65.99079789,106.7097825,BAP041,65.44127043,dark brown
80,67.18973568,107.8279038,BAP041,66.62875109,dark brown
81,64.18163632,129.8154483,BAP042,75.25530176,dark brown
82,65.00150667,130.7195513,BAP042,76.20086509,dark brown
83,106.0077185,164.4274077,BAP043,120.1662386,yellow
84,105.1876577,161.8482459,BAP043,118.2699496,yellow
85,140.596894,183.2413165,BAP044,154.0799631,pearl
86,140.7938992,182.694623,BAP044,153.8993581,pearl
87,63.01328271,124.045904,BAP045,72.08734013,dark brown
88,62.25562806,123.7891631,BAP045,71.67402255,dark brown
89,62.14662094,116.3679463,BAP046,64.18155625,dark brown
90,61.0169151,115.7158716,BAP046,63.29148884,dark brown
91,73.76182309,157.3029811,BAP047,96.79801163,light brown
92,73.02444273,157.012979,BAP047,96.32995676,light brown
93,69.81746739,149.2211433,BAP048,80.72996525,red
94,70.38868325,149.4931808,BAP048,81.16387968,red
95,67.08732071,136.0223242,BAP049,74.05641726,dark brown
96,66.54140103,135.9656875,BAP049,73.74645399,dark brown
97,59.29175878,103.1061604,BAP071,62.06884169,dark brown
98,59.4670603,103.0101554,BAP071,62.610488,dark brown
99,115.450075,170.5191297,BAP072,132.151736,cream
100,116.4148542,170.8679122,BAP072,132.9106066,cream
101,138.2704999,184.7282374,BAP073,153.9518811,pearl
102,138.0158838,184.538315,BAP073,153.7207347,pearl
103,128.918974,184.96593,BAP074,141.6049856,cream
104,127.2257481,184.0061415,BAP074,139.8337571,cream
105,115.7247259,164.3636952,BAP075,132.7555883,yellow
106,116.1494094,164.5546596,BAP075,133.0958955,yellow
107,64.83226251,119.407285,BAP076,69.15510327,dark brown
108,65.64868841,120.1000759,BAP076,69.9817731,dark brown
109,66.84355695,121.5192266,BAP077,74.55844206,dark brown
110,65.64437068,120.9683154,BAP077,73.46379744,dark brown
111,65.08113891,116.2124772,BAP078,68.45529651,dark brown
112,66.24803964,116.6448372,BAP078,69.36398761,dark brown
113,107.2227973,164.379211,BAP079,125.8487617,yellow
114,108.1806114,163.9852757,BAP079,127.5908958,yellow
115,70.28142327,126.6334882,BAP080,79.827072,dark brown
116,69.30427549,125.2169135,BAP080,78.23973133,dark brown
117,147.1356617,184.3586358,BAP081,159.2714619,white
118,147.5011541,184.3781175,BAP081,159.4463785,white
119,62.37368989,121.4643178,BAP082,70.50532783,dark brown
120,61.47951276,120.8527152,BAP082,69.73989374,dark brown
121,152.662425,192.0743063,BAP083,166.2330088,white
122,152.9637155,192.034503,BAP083,166.3618982,white
123,116.5552194,164.341726,BAP084,129.5923193,yellow
124,116.4442755,164.3561552,BAP084,129.3846947,yellow
125,131.8071943,174.9151228,BAP085,146.1460251,chalky white
126,131.3631901,174.5661102,BAP085,145.8326544,chalky white
127,93.53852871,160.1206999,BAP086,120.7520484,yellow
128,92.96827515,159.9291209,BAP086,120.5325877,yellow
129,68.41124809,116.1343171,BAP087,71.13305753,dark brown
130,67.59994717,115.6223708,BAP087,70.34533027,dark brown
131,94.78222432,153.5057875,BAP088,114.8950885,yellow
132,95.556969,153.7651682,BAP088,115.2649115,yellow
133,91.57709304,160.1828112,BAP089,107.2327062,light brown
134,91.51883144,161.2031378,BAP089,107.1887081,light brown
135,131.673826,173.9336638,BAP090,143.6659563,cream
136,132.1565219,174.2684689,BAP090,144.1377012,chalky white
137,105.1761943,170.574484,BAP091,124.4540763,yellow
138,103.8858597,169.9044368,BAP091,123.3287278,yellow
139,110.8877579,156.8012984,BAP092,121.6018862,yellow
140,111.1318091,157.1000022,BAP092,121.9790398,yellow
141,61.5592599,118.1555827,BAP093,65.50437533,dark brown
142,62.46665889,118.5266795,BAP093,66.23758843,dark brown
143,64.04873783,130.1088535,BAP094,71.65323383,dark brown
144,63.16577445,129.8875986,BAP094,71.05034902,dark brown
145,76.22636076,112.6661942,BAP095,80.82496511,dark brown
146,75.73047089,112.6274464,BAP095,80.51712082,dark brown
147,84.59202732,156.3465895,BAP098,108.9416366,light brown
148,83.87638581,155.6269386,BAP098,108.1745044,light brown
149,63.9484983,113.0823134,BAP099,65.88419082,dark brown
150,65.03065875,113.6121657,BAP099,66.76608733,dark brown
151,130.5102564,178.4294054,BAP100,148.2586288,chalky white
152,132.5547808,179.9009464,BAP100,150.1508239,chalky white
153,104.6205928,162.2032956,BAP101,121.3824827,yellow
154,105.3765172,162.6068489,BAP101,122.2925752,yellow
155,87.69544294,156.8262268,BAP102,101.6222573,light brown
156,88.96235407,157.3925733,BAP102,102.9578065,light brown
157,90.32675377,159.9156148,BAP103,104.3137939,light brown
158,89.7568514,159.6205538,BAP103,103.8237589,light brown
159,92.81143618,164.3557818,BAP104,108.8575968,light brown
160,92.19865977,163.9661396,BAP104,108.3818786,light brown
161,80.82240953,161.4238742,BAP105,94.42296935,light brown
162,81.34871153,161.7245429,BAP105,94.85665222,light brown
