,stdArea,totalCount,majorAxisLength,sample,averageArea,stdMinorAxisLength,minorAxisLength,stdMajorAxisLength
0,113.4103632,77,42.95005032,BAP001,1089.276316,2.379064139,32.82250608,3.573649965
1,111.7277098,79,42.96240105,BAP001,1089.493506,2.312144611,32.8303599,3.524371536
2,145.255927,77,41.33713985,BAP002,1148.283784,2.889351027,35.88422902,2.316698243
3,146.6173552,76,41.38556109,BAP002,1151.418919,2.90286434,35.92034654,2.332064316
4,126.1556062,77,46.71941082,BAP003,1198.220779,2.592952452,33.12912892,3.756607858
5,121.3247807,76,46.77945887,BAP003,1207.76,2.357989663,33.28458047,3.76362901
6,118.6279364,81,43.05381979,BAP004,1014.662338,2.377435836,30.5607323,3.169725723
7,115.6964352,84,43.10015604,BAP004,1013.075949,2.373220886,30.53293085,3.050903166
8,169.8281397,77,42.51616628,BAP005,1061.986111,3.282151957,32.52748233,3.658952408
9,162.4266645,78,42.82117246,BAP005,1072.267606,3.252941966,32.63889142,3.299044743
10,131.9399171,87,46.1923492,BAP006,1154.305882,2.394335665,32.38960336,3.422141387
11,135.6026742,87,46.3740578,BAP006,1163.505882,2.431584471,32.50782698,3.416808482
12,143.7829195,42,41.63737058,BAP007,1163.564103,2.384945483,35.76111924,2.907008062
13,139.1008746,40,41.93314172,BAP007,1173.027027,2.378069473,35.82227173,2.769695839
14,339.3430583,50,54.42650197,BAP008,2053.630435,4.501824646,48.3779344,4.556073097
15,339.617647,47,54.44350272,BAP008,2052.886364,4.58017894,48.35700681,4.473764447
16,210.8070235,43,47.2278393,BAP009,1523.513514,2.781974973,41.54274665,3.481004861
17,208.3616359,44,47.16885602,BAP009,1520.815789,2.828181622,41.53574064,3.386741728
18,277.471653,64,54.65899864,BAP010,2060.915254,3.663783759,48.88686792,3.83015173
19,270.9772456,64,54.60163941,BAP010,2070.101695,3.616780795,49.00030547,3.80714623
20,233.6713106,47,49.82779322,BAP011,1421.358974,3.144912282,36.8434683,5.631187231
21,233.1838546,47,49.88242981,BAP011,1423.538462,3.163955087,36.83577487,5.579966181
22,253.9079271,61,49.75205619,BAP012,1660.37931,3.789801592,43.35531937,3.615757581
23,253.52853,66,49.60806402,BAP012,1653.603175,3.731835356,43.35207953,3.672307765
24,214.0202449,43,52.46080485,BAP013,1415.55814,3.036952126,34.95790394,4.748456943
25,215.2310743,43,52.5218304,BAP013,1422.162791,2.977288894,35.04231741,4.822727963
26,183.5398743,54,42.38165436,BAP014,1166.553191,3.600043293,35.8502942,2.890088724
27,182.7738448,54,42.56306721,BAP014,1177.065217,3.608790068,35.9053177,2.869006487
28,245.690883,32,62.30713923,BAP015,2335.3,3.289057532,48.81052214,3.632351798
29,269.8246848,33,61.81764822,BAP015,2314.857143,3.3555819,48.69415714,4.28089541
30,215.8106806,48,48.25291482,BAP016,1622.488372,3.378364983,43.79507705,3.200878079
31,220.6353356,49,47.93159653,BAP016,1600.953488,3.371172685,43.47653115,3.359366765
32,166.4677094,39,49.3920304,BAP017,1677.823529,2.726522633,44.11862005,2.306165804
33,163.4363485,41,49.14585075,BAP017,1668.4,2.642478225,44.04016486,2.390807158
34,210.3933275,64,47.10311674,BAP018,1516.534483,3.499685153,41.60896838,3.185382657
35,210.8336225,67,47.08224643,BAP018,1518.316667,3.523218765,41.68405406,3.170158238
36,208.6885625,63,46.53227263,BAP019,1407.47619,2.962512735,39.70539551,3.411274062
37,206.6381224,65,46.67264542,BAP019,1414.384615,2.905936149,39.75273604,3.405672092
38,259.7686663,40,54.09695737,BAP020,2010.2,3.231086922,48.26586584,3.510614957
39,293.4061703,40,54.14294005,BAP020,2005.236842,3.470912522,48.19869742,3.523854368
40,131.1178344,60,43.88166707,BAP021,1329.759259,2.509465831,39.6948568,2.040334525
41,129.3646562,62,43.73556326,BAP021,1321.0,2.478783245,39.58216852,2.03027387
42,172.4091347,39,52.43750697,BAP022,1891.416667,2.556174946,46.9726935,2.26797818
43,291.1610849,45,49.25542677,BAP023,1517.1875,4.143222367,39.6209528,4.814868129
44,286.0169785,46,48.8846694,BAP023,1535.619048,4.338526195,40.46451315,4.568080092
45,0.0,29,44.16533508,BAP024,1230.0,0.0,35.93121877,0.0
46,236.9543917,50,45.89415405,BAP024,1334.913043,3.839934075,37.79935903,4.049101656
47,180.1594536,38,50.6456335,BAP025,1790.40625,2.249691729,45.2337395,2.988842088
48,210.0226013,39,51.62057526,BAP025,1797.416667,3.945278394,44.58249155,2.220934829
49,108.2859028,27,51.20730792,BAP026,1736.857143,1.244463126,43.42329329,1.674190804
50,139.0774874,27,50.79003242,BAP026,1795.55,2.275628678,45.25218499,1.710196474
51,131.9977848,31,48.93093033,BAP027,1542.064516,2.638241388,40.75179354,2.233971568
