,stdMinorAxisLength,sample,stdMajorAxisLength,majorAxisLength,averageArea,totalCount,stdArea,minorAxisLength
0,3.231042703,SAP1,3.776266293,50.50862427,1600.64,35,201.997402,40.81196042
1,3.263786377,SAP1,3.640803095,50.63687954,1604.64,35,200.7908125,40.82693365
2,4.374542319,SAP2,3.572400716,42.90630233,1267.131579,77,241.8969083,38.17218955
3,4.374656505,SAP2,3.591888155,43.05696167,1277.342105,81,242.3211523,38.31932077
4,3.433112192,SAP3,3.23965835,48.51130266,1636.913043,42,227.2120085,43.37592239
5,3.46238644,SAP3,3.221495585,48.58796594,1639.913043,41,228.535396,43.37125181
6,2.602753501,SAP7,2.532053929,43.86412671,1312.541667,34,145.1992824,38.37219549
7,2.581718065,SAP7,2.518097717,43.79782035,1306.375,34,142.8264718,38.22899802
8,3.657421696,SAP8,3.355433879,55.88290843,2059.72973,44,221.3958969,48.73146041
9,3.8737584,SAP8,5.10375485,56.49626106,2064.184211,44,226.4856049,48.89924131
10,2.984595418,SAP9,3.116000447,50.20501695,1683.69697,48,182.4656854,43.1479912
11,2.946580963,SAP9,3.091326519,50.15268895,1679.0,49,180.317565,43.08825408
12,5.400440274,SAP10,4.552600932,44.68267327,1293.9375,48,316.9641085,38.07649785
13,5.37345977,SAP10,4.543644448,44.56796702,1288.96875,48,317.2351734,38.03462463
14,2.732668968,SAP11,2.944646997,51.09819141,1587.147059,42,152.9200353,40.02092006
15,2.728953823,SAP11,2.940391556,51.06607654,1588.411765,41,152.2745426,40.08549589
16,3.896509486,SAP12,5.074457487,46.12902299,1382.340426,54,256.2540525,38.63163326
17,3.931444634,SAP12,5.194493905,46.18378481,1392.755556,54,259.6873467,38.79071481
18,2.239311496,SAP13,3.091534004,44.51355127,1305.171429,67,130.4205255,37.64809949
19,2.255232736,SAP13,3.098303929,44.57906364,1301.939394,66,133.43684,37.4884008
20,3.534089329,SAP14,3.495635198,44.17315849,1307.357143,35,190.0879898,38.56626092
21,3.524360174,SAP14,3.497943203,44.20564392,1310.607143,36,189.8526382,38.63355931
22,3.390534397,SAP15,3.477941699,40.99621264,1160.766667,70,208.335896,36.59897966
23,3.452001158,SAP15,3.472683884,41.10464802,1169.266667,72,210.1058358,36.76069497
24,3.852765617,SAP16,3.268433019,45.04697615,1369.387097,49,223.4381891,39.29331127
25,3.762063695,SAP16,3.302775984,44.9824389,1367.515152,49,223.0143522,39.28692478
26,3.378761177,SAP17,3.676093892,42.29129115,1174.482759,85,193.2533839,35.85562325
27,3.375197697,SAP17,3.720757895,42.47722579,1185.517241,85,195.0693282,36.02776044
28,4.466087213,SAP18,3.581702875,45.87882067,1282.419355,49,206.717631,36.06172311
29,4.408645006,SAP18,3.56144061,45.95503384,1288.09375,48,207.9019239,36.12425315
30,3.129950445,SAP19,4.505861926,47.34620569,1462.054054,54,217.9986295,40.12158446
31,3.113112478,SAP19,4.795387423,47.49345553,1466.864865,54,219.757749,40.17276145
32,2.221578569,SAP20,3.249005284,41.7459804,753.6610169,156,83.86280365,23.42910142
33,2.353224148,SAP20,3.290088576,41.77342392,756.2419355,158,94.36044235,23.46993821
34,2.989526779,SAP21,2.398130427,45.56597282,1433.944444,44,165.9079304,40.98489858
35,2.986037835,SAP21,2.439453234,45.5153345,1431.055556,44,166.8087635,40.95664773
36,3.496072444,SAP22,3.245138038,45.78874952,1423.821429,64,211.3445145,39.86902323
37,3.260560299,SAP22,3.161096195,45.87286134,1431.692308,61,199.2913926,40.04354303
38,3.587674335,SAP23,3.742862342,48.87840451,1609.257143,74,242.9062539,42.3412708
39,3.25921807,SAP23,3.48829459,48.98482512,1615.411765,74,220.0736665,42.49659268
40,3.046743683,SAP24,4.562617305,49.10379982,1435.758621,50,190.2736061,37.7323031
41,3.026803309,SAP24,4.725311229,49.08820707,1438.222222,50,191.745652,37.83929559
42,3.87881963,SAP25,5.539372162,51.87458333,1799.068966,50,331.7858606,44.38581459
43,3.86565371,SAP25,5.51839623,51.84251182,1794.724138,50,329.5367591,44.30388906
