Field Code (Riverhead/Uplands),Taxa,PHOTOPERIOD,Type,Origin,Race,Riverhead # Panicles 2019
BAP001,PI 144134,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP002,PI 145619,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Caudatum,
BAP003,PI 145626,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Kafir-bicolor,
BAP004,PI 145632,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,NA,
BAP005,PI 145633,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,NA,
BAP006,PI 146890,PHOTOPERIOD_INSENSITIVE,Sweet,Zaire,NA,
BAP007,PI 147224,PHOTOPERIOD_INSENSITIVE,Sweet,India,NA,
BAP008,PI 152591,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum,
BAP009,PI 152651,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP010,PI 152694,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP011,PI 152727,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,NA,
BAP012,PI 152728,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Durra,
BAP013,PI 152730,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum-bicolor,
BAP014,PI 152733,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Caudatum,
BAP015,PI 152751,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Guinea-caudatum,
BAP016,PI 152771,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP017,PI 152816,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP018,PI 152828,PHOTOPERIOD_INSENSITIVE,Cellulosic,Zaire,NA,
BAP019,PI 152860,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,NA,
BAP020,PI 152862,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP021,PI 152923,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA,
BAP022,PI 152961,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP023,PI 152963,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,NA,
BAP024,PI 152965,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,Caudatum,
BAP025,PI 152966,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP026,PI 152967,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP027,PI 152971,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP028,PI 153877,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Guinea,
BAP029,PI 154750,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA,
BAP030,PI 154844,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,Caudatum,
BAP031,PI 154846,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,NA,
BAP032,PI 154944,PHOTOPERIOD_INSENSITIVE,Cellulosic,Uganda,NA,
BAP033,PI 154987,PHOTOPERIOD_SENSITIVE,Sweet,Swaziland,NA,
BAP034,PI 154988,PHOTOPERIOD_INSENSITIVE,Cellulosic,Swaziland,NA,
BAP035,PI 155149,PHOTOPERIOD_SENSITIVE,Sweet,Yemen,NA,
BAP036,PI 155516,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,NA,
BAP037,PI 155760,PHOTOPERIOD_INSENSITIVE,Cellulosic,Malawi,Guinea-caudatum,
BAP038,PI 155885,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,NA,
BAP039,PI 156018,PHOTOPERIOD_SENSITIVE,Cellulosic,Zaire,Bicolor,
BAP040,PI 156178,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Guinea,
BAP041,PI 156203,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Caudatum-bicolor,
BAP042,PI 156217,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Caudatum,
BAP043,PI 156268,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Durra,
BAP044,PI 156326,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Caudatum,
BAP045,PI 156330,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Durra-caudatum,
BAP046,PI 156393,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,Caudatum,
BAP047,PI 156463,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,Caudatum,
BAP048,PI 156487,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,Guinea,
BAP049,PI 156871,PHOTOPERIOD_SENSITIVE,Cellulosic,Zaire,Caudatum,
BAP050,PI 156890,PHOTOPERIOD_INSENSITIVE,Sweet,Zaire,NA,
BAP051,PI 157030,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum,
BAP052,PI 157033,PHOTOPERIOD_SENSITIVE,Sweet,Kenya,Caudatum,
BAP053,PI 157035,PHOTOPERIOD_SENSITIVE,Sweet,Kenya,NA,
BAP054,PI 157804,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA,
BAP055,PI 167093,PHOTOPERIOD_INSENSITIVE,Sweet,Egypt,Durra,
BAP056,PI 170787,PHOTOPERIOD_INSENSITIVE,Sweet,Turkey,Caudatum-bicolor,
BAP057,PI 175919,PHOTOPERIOD_INSENSITIVE,Sweet,Turkey,Caudatum-bicolor,
BAP058,PI 176766,PHOTOPERIOD_INSENSITIVE,Cellulosic,Turkey,Bicolor,
BAP059,PI 179749,PHOTOPERIOD_INSENSITIVE,Cellulosic,India,Durra,
BAP060,PI 180348,PHOTOPERIOD_INSENSITIVE,Sweet,India,Durra,
BAP061,PI 181080,PHOTOPERIOD_INSENSITIVE,Cellulosic,India,NA,
BAP062,PI 181083,PHOTOPERIOD_INSENSITIVE,Cellulosic,India,Durra-bicolor,
BAP063,PI 181899,PHOTOPERIOD_INSENSITIVE,Cellulosic,Syria,NA,
BAP064,PI 195754,PHOTOPERIOD_INSENSITIVE,Sweet,China,Kafir-bicolor,
BAP065,PI 196049,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra,
BAP066,PI 196583,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP067,PI 196586,PHOTOPERIOD_INSENSITIVE,Sweet,NA,Guinea-kafir,
BAP068,PI 196598,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP069,PI 197542,PHOTOPERIOD_INSENSITIVE,Cellulosic,Algeria,Bicolor,
BAP070,PI 19770,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Caudatum-bicolor,
BAP071,PI 213900,PHOTOPERIOD_INSENSITIVE,Cellulosic,Kenya,Bicolor,
BAP072,PI 217691,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA,
BAP073,PI 218112,PHOTOPERIOD_INSENSITIVE,Sweet,Pakistan,Durra,
BAP074,PI 221548,PHOTOPERIOD_INSENSITIVE,Sweet,Nigeria,Kafir,
BAP075,PI 221651,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP076,PI 226096,PHOTOPERIOD_INSENSITIVE,Cellulosic,Kenya,Bicolor,
BAP077,PI 22913,PHOTOPERIOD_INSENSITIVE,Sweet,China,Bicolor,
BAP078,PI 229841,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,Kafir,
BAP079,PI 250583,PHOTOPERIOD_INSENSITIVE,Sweet,Egypt,Durra,
BAP080,PI 251672,PHOTOPERIOD_INSENSITIVE,Sweet,Former Serbia and Montenegro,NA,
BAP081,PI 253986,PHOTOPERIOD_INSENSITIVE,Cellulosic,Syria,NA,
BAP082,PI 255239,PHOTOPERIOD_SENSITIVE,Sweet,Mexico,Kafir-bicolor,
BAP083,PI 255744,PHOTOPERIOD_INSENSITIVE,Cellulosic,Turkey,NA,
BAP084,PI 257599,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,Caudatum,
BAP085,PI 257600,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,Caudatum,
BAP086,PI 266927,PHOTOPERIOD_SENSITIVE,Cellulosic,India,NA,
BAP087,PI 267573,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra,
BAP088,PI 273465,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,NA,
BAP089,PI 273969,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA,
BAP090,PI 276837,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,Durra-caudatum,
BAP091,PI 291246,PHOTOPERIOD_INSENSITIVE,Sweet,Jamaica,Durra,
BAP092,PI 297130,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,Caudatum,
BAP093,PI 297155,PHOTOPERIOD_INSENSITIVE,Cellulosic,Uganda,Kafir,
BAP094,PI 297171,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,Caudatum,
BAP095,PI 300117,PHOTOPERIOD_SENSITIVE,Sweet,South Africa,NA,
BAP096,PI 300118,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,NA,
BAP097,PI 300119,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,NA,
BAP098,PI 302252,PHOTOPERIOD_INSENSITIVE,Sweet,China,NA,
BAP099,PI 303658,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP100,PI 329256,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP101,PI 329286,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP102,PI 329299,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP103,PI 329300,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP104,PI 329301,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP105,PI 329310,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP106,PI 329319,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP107,PI 329326,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP108,PI 329333,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP109,PI 329338,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA,
BAP110,PI 329351,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP111,PI 329394,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP112,PI 329403,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP113,PI 329435,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA,
BAP114,PI 329440,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA,
BAP115,PI 329465,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP116,PI 329466,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA,
BAP117,PI 329471,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP118,PI 329473,PHOTOPERIOD_SENSITIVE,GRAIN,Ethiopia,NA,
BAP119,PI 329478,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP120,PI 329480,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP121,PI 329501,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP122,PI 329506,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP123,PI 329510,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP124,PI 329511,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP125,PI 329517,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP126,PI 329518,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP127,PI 329519,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP128,PI 329541,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP129,PI 329545,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP130,PI 329546,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP131,PI 329550,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP132,PI 329551,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP133,PI 329554,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP134,PI 329569,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP135,PI 329570,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP136,PI 329583,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP137,PI 329584,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP138,PI 329585,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP139,PI 329605,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP140,PI 329614,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP141,PI 329615,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
