Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 527254,Collection source event,3/28/1985,Zimbabwe,Y,1150,-19.91666667,32.33333333,2000,Sorghum bicolor subsp. bicolor
PI 610680,Collection source event,,"China, Jilin Sheng",Y,,43.83333333,125.3333333,2000,Sorghum bicolor subsp. bicolor
PI 610722,Collection source event,,"China, Shanxi Sheng",Y,,38.53333333,112.9833333,2000,Sorghum bicolor subsp. bicolor
PI 462039,Collection source event,11/20/1980,Yemen,Y,1550,13.61666667,44.11666667,2000,Sorghum bicolor subsp. bicolor
PI 462053,Collection source event,11/25/1980,Yemen,Y,30,14.63333333,43.05,2000,Sorghum bicolor subsp. bicolor
PI 462057,Collection source event,11/28/1980,Yemen,Y,170,13.28333333,43.5,2000,Sorghum bicolor subsp. bicolor
PI 462089,Collection source event,12/11/1980,Yemen,Y,900,14.23333333,43.73333333,2000,Sorghum bicolor subsp. bicolor
PI 481901,Collection source event,11/13/1981,Sudan,Y,800,13.45,22.71666667,2000,Sorghum bicolor subsp. bicolor
PI 482638,Collection source event,4/19/1982,Zimbabwe,Y,800,-20.41666667,31.05,2000,Sorghum bicolor subsp. bicolor
PI 482650,Collection source event,4/20/1982,Zimbabwe,Y,600,-20.93333333,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482680,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482696,Collection source event,4/30/1982,Zimbabwe,Y,720,-20.45,31.33333333,2000,Sorghum bicolor subsp. bicolor
PI 482738,Collection source event,5/5/1982,Zimbabwe,Y,750,-20.06666667,32.83333333,2000,Sorghum bicolor subsp. bicolor
PI 482818,Collection source event,5/28/1982,Zimbabwe,Y,850,-20.43333333,30.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482830,Collection source event,6/2/1982,Zimbabwe,Y,1190,-18.01666667,32.65,2000,Sorghum bicolor subsp. bicolor
PI 482906,Collection source event,6/30/1982,Zimbabwe,Y,1020,-16.98333333,31.51666667,2000,Sorghum bicolor subsp. bicolor
PI 482918,Collection source event,7/1/1982,Zimbabwe,Y,680,-16.66666667,32.23333333,2000,Sorghum bicolor subsp. bicolor
PI 482922,Collection source event,7/2/1982,Zimbabwe,Y,450,-16.2,31.7,2000,Sorghum bicolor subsp. bicolor
PI 482963,Collection source event,7/9/1982,Zimbabwe,Y,1100,-17.78333333,31.25,2000,Sorghum bicolor subsp. bicolor
PI 490311,Collection source event,7/10/1980,Kenya,Y,,0.3,34.76666667,2000,Sorghum bicolor subsp. bicolor
PI 494898,Collection source event,6/20/1982,Zambia,Y,,-13.75,25.75,2000,Sorghum bicolor subsp. bicolor
PI 500967,Collection source event,5/5/1981,Zambia,Y,,-17.75,25.53333333,2000,Sorghum bicolor subsp. bicolor
PI 500974,Collection source event,5/5/1981,Zambia,Y,1020,-17.65,25.18333333,2000,Sorghum bicolor subsp. bicolor
PI 501014,Collection source event,5/15/1981,Zambia,Y,,-14.9,23.26666667,2000,Sorghum bicolor subsp. bicolor
PI 505719,Collection source event,6/26/1984,Zambia,Y,420,-28.53333333,16.25,2000,Sorghum bicolor subsp. bicolor
PI 505727,Collection source event,6/26/1984,Zambia,Y,510,-27.96666667,16.53333333,2000,Sorghum bicolor subsp. bicolor
PI 506017,Collection source event,12/11/1983,Togo,Y,,11.96666667,0.11666667,2000,Sorghum bicolor subsp. bicolor
PI 506035,Collection source event,12/13/1983,Togo,Y,,10.65,0.18333333,2000,Sorghum bicolor subsp. bicolor
PI 506071,Collection source event,12/16/1983,Togo,Y,,9.36666667,1.33333333,2000,Sorghum bicolor subsp. bicolor
PI 506127,Collection source event,2/3/1984,Togo,Y,,6.88333333,0.85,2000,Sorghum bicolor subsp. bicolor
PI 506131,Collection source event,2/3/1984,Togo,Y,,6.78333333,1.16666667,2000,Sorghum bicolor subsp. bicolor
PI 510736,Collection source event,1979,Cameroon,Y,,10.78333333,14.13333333,2000,Sorghum bicolor subsp. bicolor
PI 511062,Collection source event,,Yemen,Y,1500,13.58333333,44.01666667,2000,Sorghum bicolor subsp. bicolor
PI 511077,Collection source event,,Yemen,Y,200,14.36666667,43.38333333,2000,Sorghum bicolor subsp. bicolor
PI 511119,Collection source event,,Yemen,Y,1770,16.05,43.7,2000,Sorghum bicolor subsp. bicolor
PI 524552,Collection source event,1977,Sudan,Y,,-12.2,24.43333333,2000,Sorghum bicolor subsp. bicolor
PI 526618,Collection source event,3/29/1985,Zimbabwe,Y,1000,-19.63333333,31.5,2000,Sorghum bicolor subsp. bicolor
PI 526713,Collection source event,4/5/1985,Zimbabwe,Y,1400,-18.53333333,32.16666667,2000,Sorghum bicolor subsp. bicolor
PI 526717,Collection source event,4/5/1985,Zimbabwe,Y,1350,-19.08333333,32.63333333,2000,Sorghum bicolor subsp. bicolor
PI 526755,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.36666667,30.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526771,Collection source event,4/6/1985,Zimbabwe,Y,1290,-16.66666667,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526813,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526843,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526851,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526859,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526955,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526985,Collection source event,5/2/1985,Zimbabwe,Y,1100,-19.76666667,27.75,2000,Sorghum bicolor subsp. bicolor
PI 526997,Collection source event,5/2/1985,Zimbabwe,Y,1000,-18.91666667,27.76666667,2000,Sorghum bicolor subsp. bicolor
PI 527039,Collection source event,4/1/1985,Zimbabwe,Y,1200,-18.58333333,31.58333333,2000,Sorghum bicolor subsp. bicolor
PI 527077,Collection source event,4/3/1985,Zimbabwe,Y,1500,-18.96666667,32.66666667,2000,Sorghum bicolor subsp. bicolor
PI 527089,Collection source event,4/3/1985,Zimbabwe,Y,1600,-18.25,32.75,2000,Sorghum bicolor subsp. bicolor
PI 527093,Collection source event,4/3/1985,Zimbabwe,Y,1500,-18.36666667,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 527139,Collection source event,4/3/1985,Zimbabwe,Y,1500,-20.2,32.6,2000,Sorghum bicolor subsp. bicolor
PI 527173,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527594,Collection source event,6/14/1985,Rwanda,Y,1460,-2.21666667,30.03333333,2000,Sorghum bicolor subsp. bicolor
PI 527613,Collection source event,6/22/1985,Rwanda,Y,1500,-2.08333333,29.98333333,2000,Sorghum bicolor subsp. bicolor
PI 542641,Collection source event,6/19/1988,Algeria,Y,1700,23.5,6.16666667,2000,Sorghum bicolor subsp. bicolor
PI 549174,Collection source event,11/20/1987,Mauritania,Y,150,15.66666667,-9.73333333,2000,Sorghum bicolor subsp. bicolor
